生徒名,割り当て時間,希望順位,火曜日,水曜日,木曜日,金曜日
生徒9,火曜日11時,第3希望,火曜日11時,,,
生徒6,木曜日16時,第2希望,,,木曜日16時,
生徒7,金曜日10時,第3希望,,,,金曜日10時
生徒20,金曜日11時,第3希望,,,,金曜日11時
生徒24,火曜日14時,第1希望,火曜日14時,,,
生徒8,火曜日15時,第1希望,火曜日15時,,,
生徒33,水曜日10時,第1希望,,水曜日10時,,
生徒2,金曜日17時,第3希望,,,,金曜日17時
生徒29,水曜日10時,第1希望,,水曜日10時,,
生徒21,火曜日16時,第2希望,火曜日16時,,,
生徒32,水曜日16時,第3希望,,水曜日16時,,
生徒34,水曜日17時,第3希望,,水曜日17時,,
生徒23,木曜日11時,第2希望,,,木曜日11時,
生徒11,木曜日14時,第2希望,,,木曜日14時,
生徒14,木曜日15時,第1希望,,,木曜日15時,
生徒15,金曜日15時,第2希望,,,,金曜日14時
生徒25,水曜日16時,第3希望,,水曜日16時,,
生徒12,水曜日17時,第1希望,,水曜日17時,,
生徒1,火曜日10時,第3希望,火曜日10時,,,
生徒28,火曜日17時,第1希望,火曜日17時,,,
生徒26,水曜日12時,第1希望,,水曜日12時,,
生徒31,水曜日14時,第1希望,,水曜日14時,,
生徒19,木曜日12時,第1希望,,,木曜日12時,
生徒10,水曜日12時,第3希望,,水曜日12時,,
生徒18,水曜日14時,第3希望,,水曜日14時,,
生徒13,金曜日12時,第2希望,,,,金曜日12時
生徒22,火曜日12時,第2希望,火曜日12時,,,
生徒4,木曜日10時,第1希望,,,木曜日10時,
生徒16,水曜日11時,第1希望,,水曜日11時,,
生徒35,水曜日11時,第1希望,,水曜日11時,,
生徒5,木曜日17時,第2希望,,,木曜日17時,
生徒27,金曜日16時,第3希望,,,,金曜日15時
生徒3,水曜日15時,第1希望,,水曜日15時,,
生徒17,水曜日15時,第2希望,,水曜日15時,,
生徒30,金曜日14時,希望外,,,,金曜日16時
