生徒名,割り当て時間,希望順位,火曜日,水曜日,木曜日,金曜日
生徒18,火曜日12時,第2希望,火曜日12時,,,
生徒24,火曜日16時,第1希望,火曜日16時,,,
生徒6,金曜日15時,第3希望,,,,金曜日15時
生徒13,水曜日11時,第2希望,,水曜日11時,,
生徒12,水曜日17時,第1希望,,水曜日17時,,
生徒27,木曜日11時,第1希望,,,木曜日11時,
生徒5,木曜日15時,第3希望,,,木曜日15時,
生徒15,金曜日10時,第2希望,,,,金曜日10時
生徒1,金曜日17時,第3希望,,,,金曜日17時
生徒20,水曜日11時,第3希望,,水曜日11時,,
生徒22,水曜日17時,第1希望,,水曜日17時,,
生徒11,火曜日17時,第3希望,火曜日17時,,,
生徒9,水曜日10時,第1希望,,水曜日10時,,
生徒7,木曜日12時,第1希望,,,木曜日12時,
生徒33,水曜日10時,第3希望,,水曜日10時,,
生徒23,火曜日10時,第1希望,火曜日10時,,,
生徒21,火曜日11時,第1希望,火曜日11時,,,
生徒28,火曜日14時,第2希望,火曜日14時,,,
生徒2,水曜日14時,第3希望,,水曜日14時,,
生徒19,水曜日15時,第3希望,,水曜日15時,,
生徒25,水曜日14時,第3希望,,水曜日14時,,
生徒14,水曜日15時,第2希望,,水曜日15時,,
生徒26,木曜日14時,第2希望,,,木曜日14時,
生徒31,木曜日16時,第2希望,,,木曜日16時,
生徒30,木曜日17時,第1希望,,,木曜日17時,
生徒35,水曜日12時,第1希望,,水曜日12時,,
生徒8,水曜日16時,第2希望,,水曜日16時,,
生徒34,木曜日10時,第1希望,,,木曜日10時,
生徒10,金曜日12時,第3希望,,,,金曜日12時
生徒16,水曜日12時,第2希望,,水曜日12時,,
生徒32,水曜日16時,第2希望,,水曜日16時,,
生徒17,金曜日11時,第3希望,,,,金曜日11時
生徒29,金曜日16時,第3希望,,,,金曜日16時
生徒4,金曜日14時,第1希望,,,,金曜日14時
生徒3,火曜日15時,希望外,火曜日15時,,,
